power,T,MOMF,DIRECTION32,WS30,WS31,WS32,WS10,WS10S,DIRECTION30,DIRECTION31,DIR10,DIR10S,MSLP,CLC,SENF,LATF,SWR,LWR,PS,PRT,PRL,PRC,T2M,RH2M
23,282.47,0.26,258.6,14.22,10.88,6.74,4.43,4.9,271.58,263.44,251.39,251.77,1016.28,42.9,-8.94,35.17,214.09,-75.66,864.83,0,0,0,281.57,74.41
22,282.78,0.27,260.46,14.01,10.73,6.72,4.52,4.97,272.69,265.02,252.89,253.31,1016.14,47.24,-10.97,27.44,250.26,-77.97,864.78,0,0,0,281.97,72.72
28,283.23,0.29,262.33,13.66,10.59,6.91,4.64,5.07,273.37,266.42,254.28,254.77,1015.87,47.35,-13.93,17.55,282.29,-80.63,864.71,0,0,0,282.5,70.45
28,283.68,0.31,264.2,13.3,10.45,7.09,4.75,5.18,274.04,267.81,255.67,256.23,1015.6,47.46,-16.89,7.65,314.32,-83.31,864.64,0,0,0,283.03,68.19
24,284.13,0.33,266.07,12.95,10.31,7.28,4.87,5.28,274.71,269.21,257.06,257.69,1015.33,47.57,-19.85,-2.24,346.35,-85.98,864.57,0,0,0,283.56,65.92
28,284.65,0.34,267.31,12.52,10.08,7.27,4.92,5.31,275.09,270.19,258.44,259.09,1015.01,46.74,-23.75,-14.44,378.26,-89.17,864.49,0,0,0,284.18,63.42
28,285.25,0.34,267.9,12.02,9.75,7.06,4.91,5.28,275.19,270.74,259.8,260.42,1014.64,44.97,-28.58,-28.93,410.03,-92.9,864.39,0,0,0,284.9,60.69
30,285.86,0.35,268.49,11.52,9.41,6.86,4.89,5.24,275.29,271.29,261.17,261.76,1014.28,43.2,-33.41,-43.42,441.81,-96.63,864.3,0,0,0,285.63,57.96
38,286.46,0.35,269.08,11.02,9.08,6.65,4.88,5.21,275.39,271.84,262.53,263.09,1013.91,41.43,-38.24,-57.91,473.58,-100.36,864.2,0,0,0,286.35,55.23
42,287.03,0.35,269.42,10.66,8.87,6.58,4.89,5.2,275.31,272.1,263.5,264.02,1013.6,39.72,-43.34,-71.27,500.82,-104,864.12,0,0,0,287.04,52.86
47,287.58,0.36,269.51,10.43,8.77,6.64,4.93,5.23,275.05,272.06,264.06,264.55,1013.32,38.09,-48.71,-83.48,523.53,-107.57,864.07,0,0,0,287.7,50.85
56,288.13,0.36,269.59,10.21,8.67,6.69,4.96,5.26,274.79,272.02,264.63,265.08,1013.06,36.46,-54.07,-95.7,546.24,-111.13,864.02,0,0,0,288.37,48.84
56,288.68,0.37,269.68,9.98,8.57,6.75,5,5.29,274.53,271.98,265.2,265.61,1012.79,34.83,-59.44,-107.91,568.95,-114.7,863.97,0,0,0,289.03,46.83
53,289.21,0.38,269.98,9.8,8.49,6.79,5.08,5.37,274.41,272.09,265.94,266.3,1012.53,34.07,-65.97,-119.87,584.89,-117.85,863.92,0,0,0,289.69,44.85
59,289.73,0.4,270.5,9.66,8.43,6.8,5.21,5.5,274.44,272.37,266.83,267.17,1012.29,34.18,-73.67,-131.57,594.07,-120.59,863.89,0,0,0,290.36,42.88
63,290.24,0.42,271.03,9.52,8.37,6.81,5.34,5.62,274.47,272.63,267.73,268.03,1012.04,34.3,-81.38,-143.28,603.25,-123.33,863.86,0,0,0,291.03,40.91
63,290.75,0.44,271.55,9.38,8.31,6.82,5.47,5.75,274.5,272.91,268.62,268.9,1011.8,34.41,-89.08,-154.98,612.43,-126.07,863.83,0,0,0,291.7,38.94
59,291.13,0.46,272.11,9.32,8.31,6.87,5.59,5.87,274.7,273.3,269.54,269.81,1011.55,33.84,-95.92,-164.14,615.2,-128.11,863.74,0,0,0,292.21,37.42
57,291.4,0.47,272.71,9.34,8.38,6.96,5.7,5.98,275.08,273.83,270.49,270.75,1011.3,32.59,-101.92,-170.76,611.55,-129.44,863.61,0,0,0,292.58,36.33
54,291.66,0.49,273.3,9.37,8.44,7.05,5.81,6.08,275.46,274.36,271.43,271.71,1011.05,31.34,-107.91,-177.39,607.9,-130.77,863.47,0,0,0,292.95,35.25
56,291.93,0.5,273.9,9.39,8.51,7.14,5.92,6.19,275.84,274.89,272.38,272.65,1010.8,30.09,-113.9,-184.01,604.25,-132.1,863.34,0,0,0,293.32,34.16
50,292.12,0.51,274.87,9.38,8.53,7.19,5.99,6.26,276.54,275.74,273.58,273.86,1010.81,27,-117.78,-186.24,593.93,-133,863.24,0,0,0,293.59,33.32
55,292.24,0.52,276.22,9.33,8.51,7.2,6.02,6.29,277.56,276.92,275.04,275.32,1011.1,22.1,-119.57,-184.07,576.92,-133.44,863.18,0,0,0,293.76,32.71
54,292.36,0.52,277.56,9.28,8.49,7.22,6.05,6.33,278.59,278.11,276.49,276.77,1011.38,17.18,-121.36,-181.91,559.91,-133.89,863.11,0,0,0,293.94,32.11
45,292.12,0.57,262.45,8.94,8.31,7.57,6.45,6.73,263.82,263.13,262.51,262.73,1012.54,90.91,-119.64,-182.95,543.14,-126.39,863.96,0,0,0,293.68,33.16
53,292.25,0.57,263.25,8.93,8.3,7.56,6.47,6.75,264.55,263.9,263.43,263.63,1012.6,90.24,-120.79,-176.64,520.17,-126.28,863.89,0,0,0,293.8,32.57
47,292.33,0.57,264.39,8.93,8.3,7.55,6.48,6.77,265.64,265.03,264.52,264.7,1012.49,87.38,-120.45,-167.44,490.82,-125.93,863.76,0,0,0,293.84,32.18
51,292.41,0.57,265.54,8.94,8.31,7.55,6.49,6.78,266.74,266.16,265.61,265.77,1012.38,84.51,-120.11,-158.24,461.46,-125.58,863.64,0,0,0,293.88,31.79
52,292.49,0.57,266.68,8.94,8.31,7.54,6.5,6.79,267.83,267.29,266.7,266.84,1012.26,81.65,-119.77,-149.04,432.11,-125.23,863.51,0,0,0,293.92,31.4
49,292.53,0.56,268.3,8.92,8.29,7.51,6.47,6.77,269.34,268.86,268.25,268.39,1012.22,76.37,-117.39,-135.67,400.35,-124.83,863.43,0,0,0,293.89,31.16
50,292.52,0.55,270.4,8.87,8.24,7.46,6.42,6.71,271.26,270.88,270.27,270.42,1012.23,68.66,-112.98,-118.13,366.2,-124.37,863.38,0,0,0,293.8,31.05
52,292.52,0.54,272.51,8.83,8.2,7.41,6.36,6.67,273.18,272.9,272.29,272.45,1012.24,60.96,-108.56,-100.6,332.04,-123.91,863.33,0,0,0,293.71,30.93
47,292.51,0.53,274.61,8.78,8.15,7.36,6.31,6.61,275.1,274.92,274.31,274.48,1012.25,53.25,-104.15,-83.06,297.89,-123.45,863.28,0,0,0,293.62,30.82
40,292.47,0.51,276.8,8.71,8.07,7.26,6.22,6.53,277.16,277.06,276.32,276.51,1012.25,45.1,-98.63,-66.19,263.62,-122.53,863.22,0,0,0,293.47,30.92
38,292.38,0.49,279.07,8.6,7.94,7.11,6.09,6.41,279.35,279.33,278.33,278.53,1012.22,36.5,-92.01,-49.98,229.23,-121.14,863.14,0,0,0,293.27,31.21
29,292.3,0.46,281.34,8.5,7.81,6.96,5.97,6.3,281.55,281.59,280.35,280.54,1012.18,27.89,-85.38,-33.77,194.85,-119.75,863.06,0,0,0,293.06,31.5
29,292.21,0.44,283.61,8.39,7.68,6.81,5.84,6.18,283.74,283.86,282.36,282.56,1012.15,19.29,-78.76,-17.55,160.46,-118.36,862.98,0,0,0,292.86,31.79
22,292.07,0.4,285.39,8.23,7.49,6.59,5.58,5.93,285.64,285.79,284.1,284.3,1012.19,13.99,-70.21,-4.24,126.4,-116.15,862.92,0,0,0,292.57,32.4
17,291.87,0.35,286.69,8.03,7.23,6.28,5.19,5.54,287.25,287.39,285.58,285.77,1012.29,11.98,-59.73,6.18,92.66,-113.1,862.88,0,0,0,292.19,33.32
10,291.67,0.29,287.98,7.81,6.98,5.97,4.8,5.16,288.86,289,287.07,287.23,1012.4,9.98,-49.24,16.61,58.92,-110.06,862.83,0,0,0,291.8,34.23
7,291.47,0.24,289.28,7.61,6.72,5.66,4.41,4.77,290.47,290.6,288.55,288.7,1012.5,7.97,-38.76,27.03,25.18,-107.01,862.79,0,0,0,291.42,35.15
4,291.24,0.2,290.45,7.44,6.49,5.39,4.08,4.45,292.21,292.25,289.62,289.76,1012.66,7.2,-31.08,32.19,7.38,-104.28,862.8,0,0,0,291,36.27
4,290.98,0.17,291.5,7.31,6.3,5.16,3.82,4.18,294.08,293.97,290.27,290.43,1012.89,7.65,-26.2,32.09,5.52,-101.86,862.87,0,0,0,290.53,37.6
3,290.72,0.15,292.55,7.18,6.1,4.93,3.56,3.92,295.95,295.68,290.93,291.1,1013.12,8.1,-21.33,31.98,3.67,-99.43,862.93,0,0,0,290.06,38.92
