power,T,MOMF,DIRECTION32,WS30,WS31,WS32,WS10,WS10S,DIRECTION30,DIRECTION31,DIR10,DIR10S,MSLP,CLC,SENF,LATF,SWR,LWR,PS,PRT,PRL,PRC,T2M,RH2M
76.6,285.13,0.54,158.52,9.44,8.82,7.83,5.68,7.07,160.66,159.55,159.88,159.88,1024.35,97.41,-93.34,-75.02,353.26,-48.91,1020.61,0.04,0.04,0,285.56,75.58
75.47,285.22,0.53,158.69,9.31,8.7,7.72,5.62,6.95,160.91,159.76,160.2,160.21,1024.3,97.65,-91.2,-72.2,337.79,-48.38,1020.55,0.05,0.05,0,285.63,75.64
68.33,285.29,0.52,158.5,9.24,8.63,7.65,5.57,6.86,160.82,159.62,160.17,160.19,1024.23,97.82,-88.69,-69.02,323.41,-47.77,1020.49,0.05,0.05,0,285.68,75.85
67.8,285.33,0.51,157.94,9.23,8.6,7.61,5.53,6.8,160.39,159.12,159.79,159.84,1024.16,97.93,-85.81,-65.48,310.14,-47.07,1020.43,0.06,0.06,0,285.7,76.2
64.13,285.38,0.5,157.39,9.21,8.58,7.57,5.5,6.73,159.96,158.63,159.4,159.49,1024.09,98.04,-82.92,-61.95,296.87,-46.36,1020.36,0.07,0.06,0.01,285.71,76.55
57.93,286.77,0.58,169.81,9.24,8.73,7.84,5.97,6.92,172.1,170.91,169.84,169.9,1021.81,96.43,-104.94,-74.72,356.47,-56.68,1018.01,0.02,0.02,0,286.91,72.24
54,286.83,0.56,170.74,9.15,8.62,7.71,5.87,6.8,173.16,171.91,170.76,170.83,1021.79,97.29,-97.79,-62.62,318.96,-54.75,1017.97,0.03,0.03,0,286.9,72.73
44.53,286.85,0.53,171.47,9.05,8.5,7.56,5.75,6.67,174.02,172.72,171.5,171.57,1021.77,97.89,-90.33,-51.5,283.95,-52.81,1017.94,0.04,0.04,0,286.86,73.42
46.93,286.88,0.51,172.19,8.96,8.38,7.41,5.63,6.54,174.89,173.54,172.22,172.32,1021.75,98.48,-82.87,-40.39,248.94,-50.88,1017.92,0.06,0.05,0.01,286.81,74.11
40.73,286.9,0.48,172.93,8.86,8.26,7.26,5.51,6.41,175.76,174.35,172.96,173.06,1021.73,99.08,-75.41,-29.27,213.93,-48.94,1017.89,0.07,0.06,0.01,286.77,74.8
37.73,286.89,0.46,173.3,8.75,8.12,7.08,5.37,6.25,176.34,174.83,173.37,173.49,1021.66,99.44,-68.73,-20.95,185.9,-47.22,1017.83,0.09,0.08,0.01,286.71,75.61
37.13,286.84,0.43,173.33,8.62,7.95,6.88,5.2,6.07,176.63,174.97,173.47,173.61,1021.54,99.57,-62.83,-15.42,164.88,-45.73,1017.71,0.11,0.1,0.01,286.63,76.54
39.33,286.79,0.4,173.36,8.49,7.79,6.67,5.04,5.9,176.93,175.11,173.58,173.74,1021.43,99.69,-56.94,-9.89,143.84,-44.24,1017.61,0.13,0.12,0.01,286.55,77.47
40.6,286.74,0.37,173.39,8.36,7.62,6.47,4.87,5.72,177.22,175.25,173.68,173.86,1021.31,99.82,-51.04,-4.36,122.81,-42.75,1017.5,0.15,0.14,0.01,286.47,78.4
43.53,286.67,0.35,173.05,8.25,7.47,6.29,4.71,5.56,177.16,175.04,173.47,173.65,1021.2,99.88,-45.94,-0.27,104.45,-41.46,1017.39,0.18,0.17,0.01,286.38,79.38
43.87,286.57,0.33,172.35,8.15,7.35,6.14,4.56,5.41,176.75,174.47,172.94,173.11,1021.09,99.89,-41.63,2.38,88.75,-40.35,1017.28,0.21,0.2,0.01,286.27,80.42
